Year,VisaType,MajorGrouping,NOMArrival,NOMDeparture,NOM
2004,
,,VET,8570,3210,5360
,,Higher education sector,29860,7850,22010
,,Student other,40200,9970,30230
,,Temporary work skilled,16660,7130,9530
,,Visitor,38870,19430,19440
,,Working Holiday,12150,3230,8920
,,Other temporary visas,8680,13220,-4530
,,Family,28930,4350,24580
,,Skill,34680,7180,27500
,,S/E & humanitarian,11690,250,11440
,,Other permanent visas,3850,6030,-2180
,Total,,351010,212220,138800



2005,Temporary visas,,149970,64410,85570
,,VET,8570,3340,5240
,,Higher education sector,39820,13140,26680
,,Student other,19540,8960,10590
,,Temporary work skilled,21460,8040,13420
,,Visitor,36760,15110,21640
,,Working Holiday,14910,3180,11730
,,Other temporary visas,8910,12640,-3720
,Permanent visas,,85990,15780,70210
,,Family,30010,4110,25900
,,Skill,39390,6540,32850
,,S/E & humanitarian,12840,230,12610
,,Other permanent visas,3750,4900,-1140
,Total,,362180,205000,157180
2006,Temporary visas,,179670,64330,115340
,,VET,13700,3330,10370
,,Higher education sector,47970,15880,32090
,,Student other,22850,6490,16370
,,Temporary work skilled,31940,9000,22940
,,Visitor,36750,14620,22130
,,Working Holiday,19320,3380,15940
,,Other temporary visas,7130,11640,-4500
,Permanent visas,,92520,15950,76570
,,Family,31310,4390,26920
,,Skill,45080,6800,38280
,,S/E & humanitarian,12500,120,12380
,,Other permanent visas,3620,4640,-1010
,Total,,402140,204650,197490
2007,Temporary visas,,230490,66580,163920
,,VET,25480,3690,21790
,,Higher education sector,64670,15440,49230
,,Student other,28160,6250,21900
,,Temporary work skilled,39300,9920,29380
,,Visitor,40800,13590,27210
,,Working Holiday,25190,6100,19080
,,Other temporary visas,6900,11580,-4680
,Permanent visas,,94780,16960,77820
,,Family,32580,4670,27910
,,Skill,47800,7510,40290
,,S/E & humanitarian,10710,80,10630
,,Other permanent visas,3700,4700,-1000
,Total,,460580,216550,244030
2008,Temporary visas,,287690,83880,203810
,,VET,40200,4610,35590
,,Higher education sector,80470,16890,63580
,,Student other,28580,6810,21770
,,Temporary work skilled,49610,11940,37670
,,Visitor,49730,21380,28350
,,Working Holiday,32460,9340,23110
,,Other temporary visas,6660,12910,-6250
,Permanent visas,,102640,16740,85900
,,Family,34830,4790,30050
,,Skill,53700,7210,46490
,,S/E & humanitarian,9980,100,9880
,,Other permanent visas,4130,4650,-510
,Total,,535970,220280,315690
2009,Temporary visas,,247930,99740,148190
,,VET,48750,7490,41260
,,Higher education sector,62990,21800,41190
,,Student other,26820,7180,19640
,,Temporary work skilled,30770,14920,15850
,,Visitor,40140,20120,20020
,,Working Holiday,33100,12440,20660
,,Other temporary visas,5360,15780,-10420
,Permanent visas,,95210,18390,76820
,,Family,35980,5100,30880
,,Skill,43230,8440,34790
,,S/E & humanitarian,12060,100,11950
,,Other permanent visas,3940,4740,-800
,Total,,478790,231890,246900
